source_file	source_row	curated_id	curated_name	curated_id_occurrences	match_status	name_check	matched_species	reference_proteome_id	uniprot_accession	uniprot_entry_name	gene_name	protein_description	reference_fasta
20260729-curated-positive-adhesin-set-KN.csv	2	P0CU38	ALS2_CANAL	1	exact-unique	exact	Candida albicans SC5314	UP000000559	P0CU38	ALS2_CANAL	ALS2	Agglutinin-like protein 2	UP000000559-uniprot-2026_02.fasta
20260729-curated-positive-adhesin-set-KN.csv	3	Q5A8T4	ALS1_CANAL	1	exact-unique	exact	Candida albicans SC5314	UP000000559	Q5A8T4	ALS1_CANAL	ALS1	Agglutinin-like protein 1	UP000000559-uniprot-2026_02.fasta
20260729-curated-positive-adhesin-set-KN.csv	4	A0A1D8PQB9	ALS4_CANAL	1	exact-unique	exact	Candida albicans SC5314	UP000000559	A0A1D8PQB9	ALS4_CANAL	ALS4	Agglutinin-like protein 4	UP000000559-uniprot-2026_02.fasta
20260729-curated-positive-adhesin-set-KN.csv	5	Q5A2Z7	ALS6_CANAL	1	exact-unique	exact	Candida albicans SC5314	UP000000559	Q5A2Z7	ALS6_CANAL	ALS6	Agglutinin-like protein 6	UP000000559-uniprot-2026_02.fasta
20260729-curated-positive-adhesin-set-KN.csv	6	Q5A8T7	ALS5_CANAL	1	exact-unique	exact	Candida albicans SC5314	UP000000559	Q5A8T7	ALS5_CANAL	ALS5	Agglutinin-like protein 5	UP000000559-uniprot-2026_02.fasta
20260729-curated-positive-adhesin-set-KN.csv	7	A0A1D8PQ86	ALS9_CANAL	1	exact-unique	exact	Candida albicans SC5314	UP000000559	A0A1D8PQ86	ALS9_CANAL	ALS9	Agglutinin-like protein 9	UP000000559-uniprot-2026_02.fasta
20260729-curated-positive-adhesin-set-KN.csv	8	Q59L12	ALS3_CANAL	1	exact-unique	exact	Candida albicans SC5314	UP000000559	Q59L12	ALS3_CANAL	ALS3	Agglutinin-like protein 3	UP000000559-uniprot-2026_02.fasta
20260729-curated-positive-adhesin-set-KN.csv	9	Q59PF9	HWP2_CANAL	1	exact-unique	exact	Candida albicans SC5314	UP000000559	Q59PF9	HWP2_CANAL	HWP2	Hyphal wall protein 2	UP000000559-uniprot-2026_02.fasta
20260729-curated-positive-adhesin-set-KN.csv	10	Q5A312	ALS7_CANAL	1	exact-unique	exact	Candida albicans SC5314	UP000000559	Q5A312	ALS7_CANAL	ALS7	Agglutinin-like protein 7	UP000000559-uniprot-2026_02.fasta
20260729-curated-positive-adhesin-set-KN.csv	11	Q5AAL9	IFF4_CANAL	1	exact-unique	exact	Candida albicans SC5314	UP000000559	Q5AAL9	IFF4_CANAL	IFF4	Cell wall protein IFF4	UP000000559-uniprot-2026_02.fasta
20260729-curated-positive-adhesin-set-KN.csv	12	Q5AL03	HYR1_CANAL	1	exact-unique	exact	Candida albicans SC5314	UP000000559	Q5AL03	HYR1_CANAL	HYR1	Hyphally regulated cell wall protein 1	UP000000559-uniprot-2026_02.fasta
20260729-curated-positive-adhesin-set-KN.csv	13	G1UBC2	PGA47_CANAL	1	exact-unique	exact	Candida albicans SC5314	UP000000559	G1UBC2	PGA47_CANAL	EAP1	Cell wall adhesin EAP1	UP000000559-uniprot-2026_02.fasta
20260729-curated-positive-adhesin-set-KN.csv	14	P08640	FLO11_YEAST	1	exact-unique	exact	Saccharomyces cerevisiae S288C	UP000002311	P08640	FLO11_YEAST	FLO11	Flocculation protein FLO11	UP000002311-uniprot-2026_02.fasta
