curated_id	species	match_status	duplicate_in_curated_set
P0CU38	C. albicans	matched	no
Q5A8T4	C. albicans	matched	no
A0A1D8PQB9	C. albicans	matched	no
Q5A2Z7	C. albicans	matched	no
Q5A8T7	C. albicans	matched	no
A0A1D8PQ86	C. albicans	matched	no
Q59L12	C. albicans	matched	no
Q59PF9	C. albicans	matched	no
Q5A312	C. albicans	matched	no
Q5AAL9	C. albicans	matched	no
Q5AL03	C. albicans	matched	no
G1UBC2	C. albicans	matched	no
P08640	S. cerevisiae	matched	no
P38894	S. cerevisiae	matched	no
P32768	S. cerevisiae	matched	no
P39712	S. cerevisiae	matched	no
P36170	S. cerevisiae	matched	no
P20840	S. cerevisiae	matched	no
Q5AF39	C. albicans	matched	no
Q05164	S. cerevisiae	matched	no
Q5A5K7	C. albicans	matched	no
Q5A5M7	C. albicans	matched	no
Q59XA7	C. albicans	matched	no
Q5A029	C. albicans	matched	no
Q5A6U1	C. albicans	matched	no
Q59XL0	C. albicans	matched	no
Q59XB0	C. albicans	matched	no
P32323	S. cerevisiae	matched	no
P46593	C. albicans	matched	no
Q5A849	C. albicans	matched	no
