legacy_label	stable_id	source_id	kn_file	kn_row_number	kn_id	match_status
negative			20251017-KN-negative-dataset-FRV-SignalP-PredGPI.csv	1	2498849	kn_unmatched
negative			20251017-KN-negative-dataset-FRV-SignalP-PredGPI.csv	2	67365	kn_unmatched
negative			20251017-KN-negative-dataset-FRV-SignalP-PredGPI.csv	3	1071980	kn_unmatched
negative			20251017-KN-negative-dataset-FRV-SignalP-PredGPI.csv	4	2131237	kn_unmatched
negative			20251017-KN-negative-dataset-FRV-SignalP-PredGPI.csv	5	3023372	kn_unmatched
negative			20251017-KN-negative-dataset-FRV-SignalP-PredGPI.csv	6	603247	kn_unmatched
negative			20251017-KN-negative-dataset-FRV-SignalP-PredGPI.csv	7	2494690	kn_unmatched
negative			20251017-KN-negative-dataset-FRV-SignalP-PredGPI.csv	8	1363697	kn_unmatched
negative			20251017-KN-negative-dataset-FRV-SignalP-PredGPI.csv	9	1749530	kn_unmatched
negative			20251017-KN-negative-dataset-FRV-SignalP-PredGPI.csv	10	640008	kn_unmatched
negative			20251017-KN-negative-dataset-FRV-SignalP-PredGPI.csv	11	6322891	kn_unmatched
negative			20251017-KN-negative-dataset-FRV-SignalP-PredGPI.csv	12	71156	kn_unmatched
negative			20251017-KN-negative-dataset-FRV-SignalP-PredGPI.csv	13	626845	kn_unmatched
negative			20251017-KN-negative-dataset-FRV-SignalP-PredGPI.csv	14	542338	kn_unmatched
negative			20251017-KN-negative-dataset-FRV-SignalP-PredGPI.csv	15	1907190	kn_unmatched
negative			20251017-KN-negative-dataset-FRV-SignalP-PredGPI.csv	16	3527	kn_unmatched
negative			20251017-KN-negative-dataset-FRV-SignalP-PredGPI.csv	17	2118114	kn_unmatched
negative			20251017-KN-negative-dataset-FRV-SignalP-PredGPI.csv	18	630261	kn_unmatched
negative			20251017-KN-negative-dataset-FRV-SignalP-PredGPI.csv	19	473141	kn_unmatched
negative			20251017-KN-negative-dataset-FRV-SignalP-PredGPI.csv	20	6322666	kn_unmatched
negative			20251017-KN-negative-dataset-FRV-SignalP-PredGPI.csv	21	1835686	kn_unmatched
negative			20251017-KN-negative-dataset-FRV-SignalP-PredGPI.csv	22	74697748	kn_unmatched
negative			20251017-KN-negative-dataset-FRV-SignalP-PredGPI.csv	23	1835684	kn_unmatched
negative			20251017-KN-negative-dataset-FRV-SignalP-PredGPI.csv	24	731660	kn_unmatched
negative			20251017-KN-negative-dataset-FRV-SignalP-PredGPI.csv	25	626865	kn_unmatched
negative			20251017-KN-negative-dataset-FRV-SignalP-PredGPI.csv	26	1352194	kn_unmatched
negative			20251017-KN-negative-dataset-FRV-SignalP-PredGPI.csv	27	74644907	kn_unmatched
negative			20251017-KN-negative-dataset-FRV-SignalP-PredGPI.csv	28	558253	kn_unmatched
negative			20251017-KN-negative-dataset-FRV-SignalP-PredGPI.csv	29	730823	kn_unmatched
negative			20251017-KN-negative-dataset-FRV-SignalP-PredGPI.csv	30	1346645	kn_unmatched
negative			20251017-KN-negative-dataset-FRV-SignalP-PredGPI.csv	31	1256848	kn_unmatched
negative			20251017-KN-negative-dataset-FRV-SignalP-PredGPI.csv	32	1170456	kn_unmatched
negative			20251017-KN-negative-dataset-FRV-SignalP-PredGPI.csv	33	1749514	kn_unmatched
negative			20251017-KN-negative-dataset-FRV-SignalP-PredGPI.csv	34	603324	kn_unmatched
negative			20251017-KN-negative-dataset-FRV-SignalP-PredGPI.csv	35	539367	kn_unmatched
negative			20251017-KN-negative-dataset-FRV-SignalP-PredGPI.csv	36	74619001	kn_unmatched
negative			20251017-KN-negative-dataset-FRV-SignalP-PredGPI.csv	37	1078596	kn_unmatched
negative			20251017-KN-negative-dataset-FRV-SignalP-PredGPI.csv	38	1077206	kn_unmatched
negative			20251017-KN-negative-dataset-FRV-SignalP-PredGPI.csv	39	14588903	kn_unmatched
negative			20251017-KN-negative-dataset-FRV-SignalP-PredGPI.csv	40	189028943	kn_unmatched
negative			20251017-KN-negative-dataset-FRV-SignalP-PredGPI.csv	41	473136	kn_unmatched
negative			20251017-KN-negative-dataset-FRV-SignalP-PredGPI.csv	42	1362425	kn_unmatched
negative			20251017-KN-negative-dataset-FRV-SignalP-PredGPI.csv	43	74605736	kn_unmatched
negative			20251017-KN-negative-dataset-FRV-SignalP-PredGPI.csv	44	74676455	kn_unmatched
negative			20251017-KN-negative-dataset-FRV-SignalP-PredGPI.csv	45	1176579	kn_unmatched
negative			20251017-KN-negative-dataset-FRV-SignalP-PredGPI.csv	46	453186	kn_unmatched
negative			20251017-KN-negative-dataset-FRV-SignalP-PredGPI.csv	47	6324437	kn_unmatched
negative			20251017-KN-negative-dataset-FRV-SignalP-PredGPI.csv	48	798900	kn_unmatched
