protein_id	protein_name	species
P0CU38	ALS2_CANAL	Candida albicans
Q5A8T4	ALS1_CANAL	Candida albicans
A0A1D8PQB9	ALS4_CANAL	Candida albicans
Q5A2Z7	ALS6_CANAL	Candida albicans
Q5A8T7	ALS5_CANAL	Candida albicans
A0A1D8PQ86	ALS9_CANAL	Candida albicans
Q59L12	ALS3_CANAL	Candida albicans
Q59PF9	HWP2_CANAL	Candida albicans
Q5A312	ALS7_CANAL	Candida albicans
Q5AAL9	IFF4_CANAL	Candida albicans
Q5AL03	HYR1_CANAL	Candida albicans
G1UBC2	PGA47_CANAL	Candida albicans
P08640	FLO11_YEAST	Saccharomyces cerevisiae
P38894	FLO5_YEAST	Saccharomyces cerevisiae
P32768	FLO1_YEAST	Saccharomyces cerevisiae
P39712	FLO9_YEAST	Saccharomyces cerevisiae
P36170	FLO10_YEAST	Saccharomyces cerevisiae
P20840	SAG1_YEAST	Saccharomyces cerevisiae
Q5AF39	PGA59_CANAL	Candida albicans
Q05164	HPF1_YEAST	Saccharomyces cerevisiae
Q5A5K7	PGA28_CANAL	Candida albicans
Q5A5M7	RBR3_CANAL	Candida albicans
Q59XA7	HYR3_CANAL	Candida albicans
Q5A029	IFF3_CANAL	Candida albicans
Q5A6U1	IFF9_CANAL	Candida albicans
Q59XL0	IFF6_CANAL	Candida albicans
Q59XB0	IFF8_CANAL	Candida albicans
P32323	AGA1_YEAST	Saccharomyces cerevisiae
P46593	HWP1_CANAL	Candida albicans
Q5A849	HYR4_CANAL	Candida albicans
