Protein ID,Protein Name,FungalRV Score,GPI-anchor,Signal Peptide
2498849,sp,-0.88801818,False,0.000000
67365,pir,-1.5297546,False,0.050237
1071980,pir,-1.7347972,False,0.000000
2131237,pir,-0.94912627,False,0.000000
3023372,sp,-0.89129105,False,0.000001
603247,gb,-1.3580829,False,0.000000
2494690,sp,-1.1535326,False,0.000002
1363697,pir,-1.2137907,False,0.000000
1749530,dbj,-1.4527021,False,0.000577
640008,emb,-1.1267069,False,0.000295
6322891,ref,-1.3525822,False,0.000000
71156,pir,-1.97248,False,0.000001
626845,pir,-0.97220888,False,0.000000
542338,pir,-1.4610642,False,0.000000
1907190,emb,-0.97051276,False,0.000000
3527,emb,-1.0491193,False,0.000001
2118114,pir,-1.8143406,False,0.000000
630261,pir,-1.6308445,False,0.000000
473141,emb,-1.4989257,False,0.000000
6322666,ref,-1.3323752,False,0.000005
1835686,gb,-1.0365612,False,0.000020
74697748,sp,1.8152688,True,0.998961
1835684,gb,-0.72103831,False,0.000000
731660,sp,-1.0406855,False,0.000000
626865,pir,-1.6417204,False,0.000000
1352194,sp,-1.0997683,False,0.000529
74644907,sp,1.4489534,True,0.999370
558253,emb,-1.4131741,False,0.000000
730823,sp,-0.56150738,False,0.000000
1346645,sp,-0.88465214,False,0.000000
1256848,gb,-1.2817716,False,0.000000
1170456,sp,1.4570896,True,0.999685
1749514,dbj,-1.6678857,False,0.000000
603324,gb,-2.0868382,False,0.000000
539367,pir,-1.736835,False,0.000000
74619001,sp,-0.81559231,False,0.000000
1078596,pir,-1.3255778,False,0.000001
1077206,pir,-2.0638236,False,0.000000
14588903,emb,-0.63358995,False,0.000000
189028943,sp,-1.8072529,False,0.000003
473136,emb,-2.0734019,False,0.000000
1362425,pir,-1.5189653,False,0.000000
74605736,sp,-1.1751999,False,0.000000
74676455,sp,0.36020196,True,0.999758
1176579,sp,1.6141467,True,0.999713
453186,emb,-0.67337935,False,0.000000
6324437,ref,-1.4794724,False,0.000000
798900,emb,-1.753317,False,0.000000
473137,emb,-0.7696612,False,0.000000
1149544,emb,-1.3326971,False,0.000137
74605158,sp,-0.70911214,False,0.003205
2131173,pir,-0.78246993,False,0.000000
1711459,sp,0.4679774,False,0.000000
417039,sp,-0.95645577,False,0.000001
1403546,emb,1.4450625,False,0.999708
854590,emb,-1.4181298,False,0.000000
1420665,emb,-1.9855635,False,0.000000
3790255,emb,-1.5236194,False,0.000148
498996,emb,-1.270172,False,0.000000
626143,pir,-1.6791992,False,0.000000
74582014,sp,-0.8118187,False,0.000000
124393,sp,-0.046619276,False,0.000000
6320199,ref,-1.4322532,False,0.000000
1084847,pir,-1.6580202,False,0.000065
1907198,emb,-0.99708702,False,0.000000
140459,sp,-1.338745,False,0.000002
74644914,sp,-0.4595773,False,0.000000
1420654,emb,-1.4496201,False,0.000000
456135,gb,-2.7225559,False,0.000031
320790,pir,-1.5713151,False,0.000002
1362455,pir,-0.73415442,False,0.000001
6433994,emb,-1.0332643,False,0.000005
731724,sp,1.9477838,True,0.999723
50400301,sp,-0.92376054,False,0.000011
730744,sp,-1.0125844,False,0.000003
456136,gb,-1.0205523,False,0.000000
433630,emb,-1.02066,False,0.000567
189043799,sp,-0.88960878,True,0.999771
630041,pir,-1.4231404,False,0.000001
74625426,sp,-0.3963935,False,0.000001
1070439,pir,-1.5079141,False,0.000000
74591477,sp,-0.73674484,False,0.000000
9755328,ref,-1.0511852,False,0.000001
626843,pir,-1.1905611,False,0.999744
1078342,pir,-2.0982552,False,0.000000
539351,pir,-0.83522729,False,0.000001
456151,gb,-0.26851745,False,0.003438
558256,emb,-1.0619069,False,0.016510
320697,pir,-1.8432317,False,0.000000
1346099,sp,0.11310957,True,0.999716
456138,gb,-1.2587436,False,0.000000
626570,pir,-0.88086165,False,0.000000
320696,pir,-1.9832678,False,0.000000
595544,gb,-0.98612064,False,0.000000
1077011,pir,-1.1958494,False,0.000000
499003,emb,-1.0834088,False,0.000000
74675927,sp,-1.8297375,False,0.000000
6323884,ref,-1.6105927,False,0.000000
1723244,sp,-0.99947075,False,0.000000
408956,gb,-1.4397716,False,0.000000
83014,pir,-1.7381772,False,0.000000
473139,emb,-1.2360191,False,0.000009
558257,emb,0.34671954,False,0.000000
602896,emb,-1.6022316,False,0.000000
239938728,sp,0.25051468,False,0.999721
2276354,emb,-0.90855629,False,0.000000
73917073,sp,-0.045832281,False,0.999604
223634670,sp,-0.20979902,False,0.000245
2118150,pir,-0.63780439,False,0.000000
66631,pir,-1.0818345,False,0.000000
1050793,emb,-1.5878588,False,0.000000
558261,emb,-1.3187776,False,0.000000
6322012,ref,-1.4506622,False,0.000000
74588961,sp,-1.0142525,False,0.000001
74680173,sp,-1.0116053,False,0.000000
2118149,pir,-1.4926033,False,0.000000
1256898,gb,-2.3944689,False,0.000000
93141247,sp,0.18686311,True,0.999777
2498764,sp,-0.80713052,False,0.000000
68180,pir,-0.65854879,False,0.000000
115515973,sp,1.1933924,True,0.999729
485487,pir,-0.83236374,False,0.000016
1403562,emb,-1.772584,False,0.000449
3305,emb,-1.2707471,False,0.000000
558262,emb,-1.7723396,False,0.000003
1292890,emb,-1.3137637,False,0.000001
172047306,sp,-0.53886592,False,0.000542
1230658,gb,-1.1784351,False,0.000050
459260,emb,-1.4168782,False,0.000001
6320713,ref,-0.86335752,False,0.000027
158514090,sp,-0.99793733,False,0.000004
849201,gb,-1.4967245,False,0.000000
558244,emb,-2.3986311,False,0.000434
456945,gb,-1.7452278,False,0.000154
74626838,sp,-0.50006545,False,0.000000
395241,emb,-1.6746411,False,0.000000
539105,pir,-1.1476778,False,0.000001
74609567,sp,-0.67820232,False,0.000000
13624757,emb,-0.99727913,False,0.000000
74645058,sp,-0.34814185,False,0.994887
74655039,sp,0.80484304,True,0.999826
6322877,ref,-1.3587569,False,0.000002
602889,emb,-1.3424425,False,0.000000
2132390,pir,-1.144551,False,0.000001
558246,emb,-1.3637529,False,0.000000
1070506,pir,-1.358177,False,0.000000
1078339,pir,-1.8343888,False,0.000000
2146822,pir,-1.1930948,False,0.000000
51315836,sp,1.1528077,True,0.998390
1749466,dbj,-0.4617106,False,0.000000
101298,pir,-1.7826499,False,0.000000
626909,pir,-2.3726389,False,0.000000
1071988,pir,-2.0638807,False,0.000000
463263,emb,-1.0182045,False,0.000000
130137,sp,-0.85883686,False,0.000000
74583483,sp,-0.74368244,False,0.000000
2131183,pir,-0.26784283,False,0.999706
466171,sp,-0.92753673,False,0.000000
558251,emb,-1.10644,False,0.000002
2132654,pir,-0.98497488,False,0.000000
1778059,gb,-1.536859,False,0.000000
279647,pir,-1.9623698,False,0.000002
2118314,pir,-1.5576209,False,0.000003
74610965,sp,-1.7463715,False,0.000000
1723846,sp,-0.72414758,False,0.000000
51704338,sp,2.6305551,True,0.994173
6319685,ref,-1.1224212,False,0.000000
20178142,sp,-0.50067943,False,0.000001
74655046,sp,-0.44649096,False,0.000006
422175,pir,-1.238224,False,0.000000
6324190,ref,-1.291509,False,0.000000
626787,pir,-1.1036892,False,0.000002
320733,pir,-1.0247783,False,0.000289
26396947,sp,-1.0081555,False,0.000000
74605122,sp,-0.49219861,False,0.000031
2131421,pir,-1.5570219,False,0.000001
2829437,sp,0.077125266,False,0.000179
2131182,pir,-0.69563751,False,0.000000
52783241,sp,-0.71769701,False,0.000000
9627982,ref,-1.3689414,False,0.000250
1353025,sp,-0.1094306,False,0.999762
400839,sp,-0.5158675,False,0.999757
1168610,sp,-0.8239427,False,0.000000
27151726,sp,2.1659643,True,0.999766
74583758,sp,0.0045058725,False,0.000000
539088,pir,-1.4199814,False,0.985982
1778061,gb,-2.1127029,False,0.000000
1077420,pir,-1.5699599,False,0.000000
125665,sp,1.2495879,True,0.999432
128907,sp,-0.066936084,False,0.000000
128575,sp,-0.14427131,False,0.000000
74676085,sp,-0.3250026,False,0.000000
1723241,sp,-0.31258424,False,0.000000
82896,pir,-0.69965438,False,0.000001
6729856,pdb,-0.87994881,False,0.000000
1077135,pir,-0.41545181,True,0.999736
458897,gb,-0.85973796,False,0.000000
74692247,sp,-1.7071821,False,0.029801
481383,pir,-1.2197221,False,0.000000
74624848,sp,-0.24056486,False,0.000003
539300,pir,-1.2478736,False,0.000000
2132401,pir,-1.5058019,False,0.000000
2498781,sp,-0.41572351,True,0.943851
101694,pir,-1.2005609,False,0.000000
1078574,pir,-0.74163174,False,0.000000
6321026,ref,-1.2443994,False,0.000000
1907168,emb,-0.92153514,False,0.000000
6321552,ref,-1.2189766,False,0.000001
539107,pir,-1.1803527,False,0.000003
1077046,pir,-1.6065751,False,0.000000
74581989,sp,0.12962628,False,0.635912
2144771,pir,-0.89999587,False,0.000035
18181874,dbj,-1.0809842,False,0.000000
205829939,sp,-1.1238857,False,0.007270
74691919,sp,-1.14759,False,0.000521
4379,emb,-0.68302871,False,0.000000
558260,emb,-2.251365,False,0.000000
487080,pir,-0.27456458,False,0.000002
2119108,pir,-1.6127702,False,0.000000
558258,emb,-0.82780764,False,0.000001
67641,pir,-0.61226693,False,0.998855
117936,sp,-1.2534515,False,0.000000
1084809,pir,-1.003895,False,0.941614
2347176,gb,-1.5266425,False,0.000000
2132969,pir,-1.6812533,False,0.000012
499001,emb,-0.3026499,False,0.000001
