Protein ID,Protein Name,FungalRV Score,GPI-anchor,Signal Peptide
P00830,ATPB_YEAST,-1.5518963,FALSE,0
P02406,RL28_YEAST,-2.4745461,FALSE,0
P04806,HXKA_YEAST,-1.4278455,FALSE,0
P06786,TOP2_YEAST,-1.1406966,FALSE,0
P07263,SYH_YEAST,-1.0592866,FALSE,0
P08679,CISY2_YEAST,-1.0421316,FALSE,0
P09798,CDC16_YEAST,-1.3041391,FALSE,0.004424
P0C5P3,YK145_YEAST,-3.2193415,FALSE,0.000001
P0CY11,HMRA1_YEAST,-2.3768413,FALSE,0
P10849,MITF2_YEAST,-1.181016,FALSE,0
P18544,ARGD_YEAST,-0.94305424,FALSE,0.000002
P18888,SNF6_YEAST,-1.2991387,FALSE,0.000024
P24031,PPA3_YEAST,-1.0210166,FALSE,0.999711
P24309,DBR1_YEAST,-1.5596811,FALSE,0
P25038,IF2M_YEAST,-1.4508638,FALSE,0
P25350,YCP6_YEAST,-2.2924071,FALSE,0
P25358,ELO2_YEAST,-1.0474078,FALSE,0.000867
P25368,RRP7_YEAST,-1.0085135,FALSE,0
P25568,ATG22_YEAST,-1.1544821,FALSE,0.000237
P25646,PDP2_YEAST,-1.6936605,FALSE,0.000001
P25846,MSH1_YEAST,-1.6004205,FALSE,0
P27705,MIG1_YEAST,-1.7525348,FALSE,0
P30777,GPI10_YEAST,-1.5969364,FALSE,0.000001
P32472,FKBP2_YEAST,-1.2544802,FALSE,0.99954
P32609,PEP7_YEAST,-1.760073,FALSE,0
P32618,YEF3_YEAST,-0.75318515,FALSE,0.001706
P33748,MSN2_YEAST,-0.21476041,FALSE,0.000002
P33890,TIR2_YEAST,0.074104255,TRUE,0.999773
P36010,NDK_YEAST,-1.5599486,FALSE,0
P36075,CUE2_YEAST,-0.95775362,FALSE,0
P36107,AUR1_YEAST,-0.78728224,FALSE,0.000047
P37298,DHSD_YEAST,-1.227336,FALSE,0
P38042,CDC27_YEAST,-1.1914167,FALSE,0
P38113,ADH5_YEAST,-0.1181695,FALSE,0
P38177,YBI6_YEAST,-0.70443842,FALSE,0
P38254,TTL_YEAST,-0.92687386,FALSE,0
P38292,PEX32_YEAST,-1.5708393,FALSE,0.000029
P38310,FTH1_YEAST,-1.0432186,FALSE,0.000001
P38343,SLM6_YEAST,-0.3386938,FALSE,0.000003
P38428,CUE1_YEAST,-2.3722501,FALSE,0.000007
P38969,PNT1_YEAST,-1.5699883,FALSE,0
P38994,ITS3_YEAST,-1.3887831,FALSE,0
P40079,LCP5_YEAST,-1.154237,FALSE,0.000009
P40106,GPP2_YEAST,-0.69954701,FALSE,0
P40166,YNT8_YEAST,-1.1362362,FALSE,0.000021
P40202,CCS1_YEAST,-0.78698953,FALSE,0
P40454,PTPA1_YEAST,-1.6989676,FALSE,0.000001
P40513,MAM33_YEAST,-1.3399553,FALSE,0
P40559,INP51_YEAST,-1.0631441,FALSE,0.000001
P40583,YPS6_YEAST,-0.20361724,TRUE,0.804801
P41821,MID1_YEAST,0.17810906,FALSE,0.999746
P42073,REF2_YEAST,-0.97346059,FALSE,0
P43587,YPI1_YEAST,-1.5746247,FALSE,0
P47001,CIS3_YEAST,-0.1094306,FALSE,0.999762
P47122,GPN1_YEAST,-0.3549233,FALSE,0
P52923,AIF1_YEAST,-0.83503873,FALSE,0.000002
P53011,SEH1_YEAST,-0.97381877,FALSE,0
P53063,DXO_YEAST,-2.0110275,FALSE,0.000001
P53168,DUO1_YEAST,-1.8984213,FALSE,0
P53280,CF130_YEAST,-1.5237823,FALSE,0
P53287,YG3N_YEAST,-3.2612238,FALSE,0
P53550,DCP2_YEAST,-0.8136221,FALSE,0
P53840,TOF1_YEAST,-1.5127721,FALSE,0.000014
P53918,ESBP6_YEAST,-0.83082733,FALSE,0
P53921,RN35_YEAST,-2.8749266,FALSE,0
Q00578,RAD25_YEAST,-1.7322169,FALSE,0
Q01454,CTF4_YEAST,-0.79108701,FALSE,0.000006
Q02197,NAA35_YEAST,-1.4411676,FALSE,0
Q02203,YKY5_YEAST,-0.64469782,FALSE,0.999711
Q02606,CIP1_YEAST,-1.148218,FALSE,0.000003
Q03063,DIG1_YEAST,-0.6958589,FALSE,0.000003
Q03067,SGF11_YEAST,-0.45711754,FALSE,0.000001
Q03558,OYE2_YEAST,-0.59968413,FALSE,0
Q03759,YMK8_YEAST,-2.4597751,FALSE,0
Q03768,GIR2_YEAST,-1.3620116,FALSE,0
Q03976,RT24_YEAST,-1.5899243,FALSE,0
Q04053,SNX41_YEAST,-0.54156413,FALSE,0
Q04430,PANK_YEAST,-0.74368244,FALSE,0
Q04781,LTN1_YEAST,-1.1140206,FALSE,0
Q04868,ELP6_YEAST,-1.156716,FALSE,0
Q05785,ENT2_YEAST,-1.7142747,FALSE,0
Q05902,ECM38_YEAST,-1.4564886,FALSE,0.999612
Q06537,YP153_YEAST,-1.2376804,FALSE,0.000059
Q07551,KAR_YEAST,-0.9042164,FALSE,0
Q07651,FMP45_YEAST,-1.0744655,FALSE,0.000002
Q07987,PAU23_YEAST,-0.92804816,FALSE,0.999662
Q08187,YO029_YEAST,0.31789739,FALSE,0.000003
Q08226,CRT10_YEAST,-0.99232682,FALSE,0.000001
Q08457,SLD7_YEAST,-1.3534165,FALSE,0
Q12010,YPQ1_YEAST,-1.4511897,FALSE,0
Q12169,YO015_YEAST,-1.7811003,FALSE,0.000001
Q12196,RIO1_YEAST,-1.4337586,FALSE,0.000001
Q12251,YP011_YEAST,-1.0849191,FALSE,0.000001
Q12366,NDJ1_YEAST,-1.2020107,FALSE,0.000166
Q12445,POM34_YEAST,-1.7873655,FALSE,0.000001
