ID,Name,FungalRV Score,Pfam Domains,S/T Frequency,Max window S/T frequency,Average B-aggregation per residue,B-agg seq count,TR Percentage
P0CU38,ALS2_CANAL,2.4833189,"Candida_ALS, Candida_ALS_N, Reductase_C",0.349,0.48,9386.74,25,0.709
Q5A8T4,ALS1_CANAL,2.4127489,"Candida_ALS_N, Candida_ALS",0.368,0.52,3501.03,8,0.35
A0A1D8PQB9,ALS4_CANAL,2.3575861,"Candida_ALS, Candida_ALS_N, Reductase_C",0.354,0.46,4969.93,15,0.636
Q5A2Z7,ALS6_CANAL,2.2499368,"Candida_ALS_N, Candida_ALS",0.388,0.62,5118.06,18,0.239
Q5A8T7,ALS5_CANAL,2.1554319,"Candida_ALS_N, Candida_ALS",0.38,0.64,3172.02,9,0.275
A0A1D8PQ86,ALS9_CANAL,2.1237885,"Candida_ALS, Candida_ALS_N, YDR124W_N",0.376,0.52,5234.3,15,0.399
Q59L12,ALS3_CANAL,1.9640682,"Candida_ALS, Candida_ALS_N",0.345,0.58,4119.03,13,0.412
Q59PF9,HWP2_CANAL,1.8593916,Flocculin_t3,0.482,0.7,4007.06,14,0.49
Q5A312,ALS7_CANAL,1.4908648,"Candida_ALS_N, Candida_ALS",0.36,0.64,5892.37,19,0.328
Q5AAL9,IFF4_CANAL,1.4446197,Hyphal_reg_CWP,0.349,0.52,5117.58,12,0.075
Q5AL03,HYR1_CANAL,1.3860953,Hyphal_reg_CWP,0.319,0.62,5079.67,10,0.325
G1UBC2,PGA47_CANAL,0.97862826,Flocculin_t3,0.351,0.56,3201.05,5,0.521
P08640,FLO11_YEAST,2.5187135,Flo11,0.501,0.86,4382.12,8,0.569
P38894,FLO5_YEAST,2.0983053,"Flocculin, PA14, Flocculin_t3, GLEYA",0.402,0.74,7624.99,17,0.468
P32768,FLO1_YEAST,1.98434,"Flocculin, PA14, GLEYA",0.411,0.66,11780.65,26,0.656
P39712,FLO9_YEAST,1.9491478,"Flocculin, PA14, Flocculin_t3, GLEYA",0.408,0.64,11122.7,26,0.584
P36170,FLO10_YEAST,1.6587876,"PA14, Flocculin_t3, GLEYA",0.408,0.6,3896.73,9,0.324
P20840,SAG1_YEAST,0.50633392,Candida_ALS_N,0.298,0.52,2948.87,6,0
Q5AF39,PGA59_CANAL,1.2084575,Flocculin_t3,0.292,0.4,1443.03,3,0
Q05164,HPF1_YEAST,1.6688728,Hyphal_reg_CWP,0.424,0.7,4055.74,12,0.499
Q5A5K7,PGA28_CANAL,0.78400742,NA,0.327,0.62,2278,3,0.168
Q5A5M7,RBR3_CANAL,1.8226693,"Hyphal_reg_CWP, Hyr1",0.412,0.72,7688.37,27,0.513
Q59XA7,HYR3_CANAL,1.5942726,"Hyphal_reg_CWP, Hyr1, Glu2-Pro",0.364,0.58,5662.61,14,0.578
Q5A029,IFF3_CANAL,1.0525564,"Hyphal_reg_CWP, Hyr1",0.33,0.48,5514.21,15,0.108
Q5A6U1,IFF9_CANAL,0.98741474,"Hyphal_reg_CWP, Hyr1",0.327,0.48,5542.84,16,0.108
Q59XL0,IFF6_CANAL,0.75708336,Hyphal_reg_CWP,0.378,0.64,2566.99,12,0.638
Q59XB0,IFF8_CANAL,0.62771885,Hyphal_reg_CWP,0.354,0.64,4668.49,12,0.195
P32323,AGA1_YEAST,2.504306,NA,0.552,0.94,4603.83,10,0.459
P46593,HWP1_CANAL,1.5226305,Flocculin_t3,0.289,0.66,4210.58,8,0.41
Q5A849,HYR4_CANAL,0.51865551,"Hyphal_reg_CWP, Hyr1",0.269,0.42,6978.42,21,0.056
